"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-11",99.44859,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-12",99.20548,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-01",98.87149,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-02",98.40817,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-03",97.86771,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-04",97.47568,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-05",97.10179,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-06",96.73094,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-07",96.53242,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-08",96.53391,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-09",96.53684,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-10",96.61087,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-11",96.77543,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-12",97.05366,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2023-01",97.40816,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-01",101.9528,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-02",102.2275,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-03",102.4201,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-04",102.4131,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-05",102.2806,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-06",102.4248,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-07",102.5174,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-08",102.4952,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-09",102.4149,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-10",102.3984,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-11",102.4536,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-12",102.6463,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-01",102.6573,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-02",102.469,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-03",102.2516,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-04",102.0334,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-05",101.7884,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-06",101.3699,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.8075,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.8031,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-09",101.1701,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-10",101.3295,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-11",101.238,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-12",101.1507,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-01",101.0395,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-02",100.9392,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-03",100.9032,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.8713,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.7826,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-06",100.6082,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-07",100.5428,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.4803,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-09",100.4677,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-10",100.5085,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-11",100.5237,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-12",100.5437,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-01",100.6156,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-02",100.7316,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-03",100.8344,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-04",100.8829,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.008,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.05,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.1323,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.0501,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-09",100.8609,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.6565,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.3895,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.0774,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-01",99.78539,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-02",99.65299,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-03",99.64274,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-04",99.8019,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-05",100.0397,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-06",100.1235,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-07",100.166,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-08",99.97202,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-09",99.92773,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-10",100.0298,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-11",100.3437,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-12",100.6948,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-01",100.8202,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-02",100.4582,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-03",99.37786,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-04",97.81908,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-05",97.05473,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-06",97.19511,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-07",97.69338,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-08",97.90426,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-09",97.72504,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-10",97.38472,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-11",97.28661,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-12",97.70135,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-01",98.29536,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-02",99.37321,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-03",100.6882,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-04",101.7236,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-05",102.5142,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-06",102.8696,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-07",102.8136,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-08",102.2935,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-09",101.4304,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-10",100.7153,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-11",100.3835,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-12",99.90011,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-01",98.87414,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-02",97.34772,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-03",95.78647,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-04",94.46963,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-05",93.69205,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-06",93.26855,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-07",92.923,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-08",92.38828,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-09",91.94593,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-10",92.05472,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-11",92.49827,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-12",92.92365,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2023-01",93.36875,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-01",101.1431,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-02",101.1454,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-03",101.046,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.9896,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.9068,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.9213,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.8031,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.608,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.4321,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.4622,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.5822,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.6822,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.6957,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.6572,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.6162,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.6389,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.765,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.7423,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.5912,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.482,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.4623,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.5415,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.8806,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-12",101.2282,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-01",101.3808,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-02",101.3682,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-03",101.3367,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-04",101.2959,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-05",101.2225,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.1136,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.0713,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.1706,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.295,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.4492,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.4285,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.3435,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.3736,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.5378,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.6398,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.5885,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.5019,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.4435,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.4118,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.4231,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-09",101.5071,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-10",101.4891,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-11",101.3792,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-12",101.2076,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-01",101.0023,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-02",101.0568,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-03",101.276,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-04",101.4367,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-05",101.5251,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-06",101.4308,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-07",101.1977,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.9,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.8999,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-10",101.1039,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-11",101.374,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-12",101.603,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-01",101.6014,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-02",101.1711,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-03",100.1679,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-04",99.07677,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-05",98.57415,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-06",98.5241,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-07",98.54149,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.74434,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-09",99.05836,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-10",99.20786,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-11",99.16454,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-12",99.16763,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-01",99.17374,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-02",99.31405,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-03",99.68224,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-04",99.92783,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-05",99.8688,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-06",99.65782,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-07",99.18728,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-08",98.61514,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-09",98.31478,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-10",98.12716,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-11",97.96396,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-12",97.86197,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-01",97.62561,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-02",97.31638,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-03",97.07753,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-04",96.91045,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-05",96.5018,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-06",96.09296,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-07",96.06521,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-08",96.33134,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-09",96.54515,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-10",96.64653,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-11",96.69615,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-12",96.91941,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-01",97.29351,
